9.671000000000000000e+03,1.170000000000000000e+02,5.900000000000000000e+01,7.200000000000000000e+01,1.900000000000000000e+01,6.800000000000000000e+01,1.130000000000000000e+02
7.010000000000000000e+03,1.140000000000000000e+02,6.100000000000000000e+01,6.000000000000000000e+01,1.800000000000000000e+01,5.700000000000000000e+01,1.130000000000000000e+02
1.363600000000000000e+04,1.080000000000000000e+02,4.200000000000000000e+01,5.800000000000000000e+01,3.000000000000000000e+00,6.400000000000000000e+01,9.900000000000000000e+01
1.371600000000000000e+04,1.110000000000000000e+02,5.200000000000000000e+01,6.400000000000000000e+01,1.000000000000000000e+01,4.200000000000000000e+01,1.070000000000000000e+02
8.850000000000000000e+03,1.160000000000000000e+02,5.500000000000000000e+01,7.000000000000000000e+01,6.000000000000000000e+00,5.800000000000000000e+01,1.090000000000000000e+02
2.408000000000000000e+03,1.140000000000000000e+02,4.500000000000000000e+01,7.800000000000000000e+01,1.700000000000000000e+01,6.200000000000000000e+01,1.040000000000000000e+02
1.146200000000000000e+04,1.020000000000000000e+02,5.800000000000000000e+01,5.600000000000000000e+01,2.400000000000000000e+01,5.800000000000000000e+01,1.090000000000000000e+02
1.235600000000000000e+04,1.160000000000000000e+02,6.300000000000000000e+01,6.400000000000000000e+01,2.100000000000000000e+01,4.500000000000000000e+01,1.120000000000000000e+02
1.425800000000000000e+04,1.170000000000000000e+02,5.000000000000000000e+01,5.400000000000000000e+01,1.300000000000000000e+01,6.400000000000000000e+01,1.100000000000000000e+02
1.431700000000000000e+04,1.170000000000000000e+02,4.300000000000000000e+01,6.000000000000000000e+01,6.000000000000000000e+00,5.900000000000000000e+01,1.170000000000000000e+02
2.347000000000000000e+03,1.060000000000000000e+02,3.800000000000000000e+01,7.300000000000000000e+01,1.400000000000000000e+01,6.600000000000000000e+01,8.500000000000000000e+01
9.496000000000000000e+03,1.120000000000000000e+02,4.300000000000000000e+01,5.800000000000000000e+01,9.000000000000000000e+00,6.400000000000000000e+01,1.030000000000000000e+02
